pitcher,pitcher_name,p_throws,height,shoulder_pos,release_pos_x,release_pos_z,arm_angle,arm_angle_type
669211,Keegan Akin,L,72.0,50.4,29.226230769230767,70.97053846153847,54.73987178524536,High Three-Quarters
669212,Eli Morgan,R,70.0,49.0,-5.271818181818182,69.0968181818182,14.760110770907538,Overhand
669276,Dylan Lee,L,75.0,52.5,20.5896875,77.48875,39.48515311022571,High Three-Quarters
669302,Logan Gilbert,R,78.0,54.599999999999994,-11.465217391304348,71.06979933110368,34.619255367406645,High Three-Quarters
669330,Tyler Wells,R,80.0,56.0,-14.878610038610038,82.46779922779923,29.302935585193353,Overhand
669373,Tarik Skubal,L,75.0,52.5,21.165331069609508,73.57212224108659,45.04758959263694,High Three-Quarters
669387,Carmen Mlodzinski,R,74.0,51.8,-31.30644351464435,61.1563179916318,73.1870028152699,Low Three-Quarters
669391,Owen White,R,75.0,52.5,-15.09,71.43375,38.52642732458473,High Three-Quarters
669395,Dylan Coleman,R,77.0,53.9,-21.6525,72.6375,49.03517295985178,High Three-Quarters
669422,Matt Sauer,R,76.0,53.199999999999996,-21.06091743119266,71.60000000000001,48.55732534869541,High Three-Quarters
669432,Trevor Rogers,L,77.0,53.9,30.459823008849558,67.99794690265486,65.17070187376254,Low Three-Quarters
669438,Mason Englert,R,76.0,53.199999999999996,-22.973333333333333,66.70596491228069,59.55272844122383,High Three-Quarters
669456,Shane Bieber,R,75.0,52.5,-18.625301204819277,68.79036144578313,48.796808579442235,High Three-Quarters
669459,Kyle Nelson,L,73.0,51.099999999999994,9.700137931034483,69.67696551724138,27.58015446944018,Overhand
669461,Matthew Liberatore,L,76.0,53.199999999999996,9.427322834645668,77.48244094488189,21.219782440310308,Overhand
669467,Andre Pallante,R,72.0,50.39999999999999,-22.508076923076924,72.88673076923077,44.759265942316226,High Three-Quarters
669620,Brady Basso,L,74.0,51.79999999999999,24.95,81.64,39.815265875553905,High Three-Quarters
669622,Anthony Bender,R,76.0,53.199999999999996,-17.807381974248926,65.26145922746781,55.7596173640705,High Three-Quarters
669674,Sam Long,L,73.0,51.099999999999994,17.40206896551724,71.5893103448276,40.304656537734644,High Three-Quarters
669711,Greg Weissert,R,74.0,51.8,-45.912053571428565,58.30714285714286,81.76733069905201,Low Three-Quarters
669713,Hayden Wesneski,R,75.0,52.5,-14.409017341040462,70.85687861271677,37.820166384567074,High Three-Quarters
669796,Jose Hernandez,L,75.0,52.5,8.680449438202247,77.80449438202248,18.905603524622016,Overhand
669854,Ronel Blanco,R,75.0,52.5,-11.67173076923077,72.56388461538462,30.120169837727346,High Three-Quarters
669912,Kirby Snead,L,73.0,51.09999999999999,30.7824,60.948342857142855,72.0643349273554,Low Three-Quarters
669923,George Kirby,R,76.0,53.199999999999996,-20.979838449111472,70.37815831987076,50.57566858947788,High Three-Quarters
669952,Mitch White,R,75.0,52.5,-20.51099273607748,72.02760290556901,45.88609022021175,High Three-Quarters
670059,Colin Holderman,R,76.0,53.2,-22.09554929577465,68.21780281690141,55.562212581584966,High Three-Quarters
670102,Bowden Francis,R,77.0,53.9,-24.650028169014085,72.97622535211268,52.25471450715859,High Three-Quarters
670167,John Schreiber,R,74.0,51.8,-31.43917808219178,48.98767123287671,94.9777521905167,Sidearm
670174,Josh Winckowski,R,76.0,53.2,-20.6735421686747,72.88742168674699,46.08501589890299,High Three-Quarters
670223,Matt Mervis,R,74.0,51.8,-12.833513513513514,83.15027027027027,22.272118654107746,Overhand
670241,Darius Vines,R,73.0,51.099999999999994,-12.191896551724138,71.68293103448275,30.570389675608215,High Three-Quarters
670280,David Bednar,R,72.0,50.4,-22.111512605042016,71.43806722689075,46.406462072580894,High Three-Quarters
670766,Darren McCaughan,R,73.0,51.1,-32.05655172413793,62.95448275862069,69.64301052399429,Low Three-Quarters
670810,Logan Gillaspie,R,74.0,51.8,-5.555744680851064,73.90212765957448,14.37165541540277,Overhand
