pitcher,pitcher_name,p_throws,pitch_type,height,shoulder_pos,release_pos_x,release_pos_z,arm_angle
434378,Justin Verlander,R,CH,77.0,53.9,-19.634482758620692,85.3393103448276,31.918060913287594
434378,Justin Verlander,R,CU,77.0,53.9,-20.02277777777778,84.74833333333333,32.91224839113621
434378,Justin Verlander,R,FF,77.0,53.9,-17.2827731092437,85.4727731092437,28.644333241779435
434378,Justin Verlander,R,SL,77.0,53.89999999999999,-19.882622950819673,84.70360655737706,32.769110930128285
445276,Kenley Jansen,R,FC,77.0,53.9,-25.43606557377049,77.00852459016393,47.651065791962935
445276,Kenley Jansen,R,SI,77.0,53.9,-21.46588235294118,77.49176470588235,42.25125071122636
445276,Kenley Jansen,R,SL,77.0,53.9,-25.807058823529413,77.03294117647059,48.00941642882232
445926,Jesse Chavez,R,CH,73.0,51.099999999999994,-19.36909090909091,62.07818181818182,60.43686232621951
445926,Jesse Chavez,R,CU,73.0,51.099999999999994,-17.737142857142857,64.2,53.51383504451754
445926,Jesse Chavez,R,FC,73.0,51.099999999999994,-20.00911392405063,60.96455696202532,63.73986351630048
445926,Jesse Chavez,R,SI,73.0,51.099999999999994,-17.925283018867923,62.12830188679246,58.38709801825562
445926,Jesse Chavez,R,SL,73.0,51.099999999999994,-18.240000000000002,62.88,57.144278049566985
450203,Charlie Morton,R,CH,77.0,53.9,-28.249624060150374,65.72932330827068,67.2886134555754
450203,Charlie Morton,R,CU,77.0,53.9,-28.79408071748879,66.08367713004485,67.07775301673854
450203,Charlie Morton,R,FC,77.0,53.9,-28.44813559322034,66.2013559322034,66.61741625210934
450203,Charlie Morton,R,FF,77.0,53.900000000000006,-27.584528301886788,66.70641509433962,65.10461214114667
450203,Charlie Morton,R,SI,77.0,53.9,-27.209999999999997,66.05,65.92825826185619
455119,Chris Martin,R,FC,80.0,56.0,-36.850153846153844,72.81323076923077,65.45361872001445
455119,Chris Martin,R,FF,80.0,56.0,-33.40897959183673,73.51591836734693,62.29799149780973
455119,Chris Martin,R,FS,80.0,56.0,-35.9675,72.105,65.85927070420199
455119,Chris Martin,R,SI,80.0,56.0,-36.39692307692307,71.34461538461538,67.13126860452053
455119,Chris Martin,R,ST,80.0,56.0,-37.46,71.89999999999999,66.99536427253183
458677,Justin Wilson,L,FC,74.0,51.8,17.63307692307692,76.02461538461539,35.78057902500151
458677,Justin Wilson,L,FF,74.0,51.8,16.68672,76.6032,33.57161514187642
458677,Justin Wilson,L,FS,74.0,51.79999999999999,16.26,74.16000000000001,35.976167094723344
458677,Justin Wilson,L,SL,74.0,51.79999999999999,18.77,75.8175,37.661248125813486
458681,Lance Lynn,R,CH,77.0,53.9,-40.130625,65.025,74.4668496775079
