id,fullName
30937,Michael Pineda
30942,Jhan Marinez
30944,Josh Tomlin
30945,Greg Holland
30948,Chris Sale
30950,Yasmani Grandal
30951,Bryce Harper
30954,Jeremy Jeffress
30959,Brandon Kintzler
30963,Steve Cishek
30981,Corey Kluber
30993,Eric Hosmer
30995,Tim Collins
31000,Brad Brach
31003,Chris Archer
31007,Jason Kipnis
31009,Brian Dozier
31010,Drew Pomeranz
31015,Matt Carpenter
31026,Justin Wilson
31027,Paul Goldschmidt
31032,Stephen Vogt
31037,Jean Segura
31038,Tim Federowicz
31039,Ryan Lavarnway
31042,Billy Hamilton
31048,Anthony Gose
31049,Adeiny Hechavarria
31051,Rubby De La Rosa
31053,Kyle Gibson
31054,Zack Britton
31061,Jordan Lyles
31065,J.D. Martinez
31067,Brandon Dickson
31075,Wilmer Font
31077,Brad Hand
31083,Rex Brothers
31084,Charlie Blackmon
31086,Alex Cobb
31087,Arodys Vizcaino
31091,Julio Teheran
31092,Mike Montgomery
31094,Wade Miley
31095,Gary Sanchez
31097,Manny Machado
31098,Martin Perez
31099,Matt Moore
31101,Adam Warren
31109,Albert Suarez
31112,Mike Allen Broadway
31114,Danny Duffy
31116,Christian Colon
31117,Jurickson Profar
31122,Dellin Betances
31123,Manny Banuelos
31124,David Phelps
31127,Salvador Perez
31130,Cesar Hernandez
31133,Rob Brantly
31136,Nate Jones
31140,Wily Peralta
31144,Anthony Bass
31145,Matt Davidson
31171,Eric Campbell
31172,Ryan LaMarre
31173,Tucker Barnhart
31174,Nathan Eovaldi
31187,Nick Castellanos
31188,Dixon Machado
31195,Jake Marisnick
31200,Ronald Torreyes
31206,Jon Singleton
31207,Oscar Taveras
31208,Tommy Pham
31209,Mike Freeman
31214,Matt Harvey
31217,Jared Hoying
31222,Phil Gosselin
31224,Joey Thomas Terdoslavich
31234,Dan Butler
31238,Yadiel Rivera
31250,Corban Joseph
31253,Aaron Hicks
31254,Aaron Sanchez
31255,Alex Colome
31258,Jameson Taillon
31260,Miguel Sano
31261,Nolan Arenado
31263,Trevor May
31264,Tyler Matzek
31265,Wil Myers
31266,Zach Lee
31267,Zack Wheeler
31275,Jose Martinez
31276,Brett Eibner
31283,Christian Yelich
31288,Cesar Puello
31306,Rey Navarro
31313,Patrick Corbin
31327,Ender Inciarte
31337,Matt Szczur
31340,Carlos Martinez
31342,Wes Darvill
31347,Matt Hall
31358,Enrique Hernandez
31359,Matt Adams
31360,Delino DeShields
